[2025-08-11T13:08:05.520566400] Count: 37 | Avg: 120.49ms | StdDev: 40.33 | Median: 115ms | P90: 165ms | P95: 191ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:05.731722600] Count: 38 | Avg: 119.50ms | StdDev: 40.25 | Median: 115ms | P90: 165ms | P95: 191ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:05.872887500] Count: 39 | Avg: 119.05ms | StdDev: 39.83 | Median: 114ms | P90: 165ms | P95: 191ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:06.150475100] Count: 40 | Avg: 118.83ms | StdDev: 39.35 | Median: 114ms | P90: 150ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:06.221991400] Count: 41 | Avg: 118.68ms | StdDev: 38.88 | Median: 113ms | P90: 150ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:06.569578900] Count: 42 | Avg: 118.29ms | StdDev: 38.50 | Median: 113ms | P90: 150ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:06.639120700] Count: 43 | Avg: 118.12ms | StdDev: 38.06 | Median: 112ms | P90: 150ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:06.673498200] Count: 44 | Avg: 117.75ms | StdDev: 37.70 | Median: 112ms | P90: 150ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:06.903736200] Count: 45 | Avg: 117.16ms | StdDev: 37.49 | Median: 111ms | P90: 150ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:07.167234800] Count: 46 | Avg: 116.57ms | StdDev: 37.29 | Median: 111ms | P90: 150ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:07.221238600] Count: 47 | Avg: 116.04ms | StdDev: 37.06 | Median: 111ms | P90: 150ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:07.523340] Count: 48 | Avg: 115.94ms | StdDev: 36.68 | Median: 111ms | P90: 150ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:07.565351600] Count: 49 | Avg: 115.73ms | StdDev: 36.33 | Median: 111ms | P90: 150ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:07.817431200] Count: 50 | Avg: 115.44ms | StdDev: 36.03 | Median: 111ms | P90: 143ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:07.880957400] Count: 51 | Avg: 115.04ms | StdDev: 35.78 | Median: 110ms | P90: 143ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:08.051003100] Count: 52 | Avg: 114.38ms | StdDev: 35.74 | Median: 110ms | P90: 143ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:08.202536700] Count: 53 | Avg: 113.66ms | StdDev: 35.79 | Median: 106ms | P90: 143ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:08.349592700] Count: 54 | Avg: 112.96ms | StdDev: 35.82 | Median: 106ms | P90: 143ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:08.533657500] Count: 55 | Avg: 112.82ms | StdDev: 35.51 | Median: 105ms | P90: 143ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:08.771704700] Count: 56 | Avg: 112.39ms | StdDev: 35.33 | Median: 105ms | P90: 143ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:08.827236400] Count: 57 | Avg: 112.02ms | StdDev: 35.13 | Median: 104ms | P90: 143ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:09.147545700] Count: 58 | Avg: 111.60ms | StdDev: 34.97 | Median: 104ms | P90: 143ms | P95: 172ms | P99: 296ms | Min: 76ms | Max: 296ms
[2025-08-11T13:08:09.950466200] Count: 59 | Avg: 110.78ms | StdDev: 35.23 | Median: 102ms | P90: 143ms | P95: 172ms | P99: 296ms | Min: 63ms | Max: 296ms
[2025-08-11T13:08:10.272057100] Count: 60 | Avg: 110.35ms | StdDev: 35.09 | Median: 102ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 63ms | Max: 296ms
[2025-08-11T13:08:10.418591800] Count: 61 | Avg: 110.00ms | StdDev: 34.91 | Median: 102ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 63ms | Max: 296ms
[2025-08-11T13:08:10.607642] Count: 62 | Avg: 109.74ms | StdDev: 34.68 | Median: 102ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 63ms | Max: 296ms
[2025-08-11T13:08:10.766308700] Count: 63 | Avg: 108.95ms | StdDev: 34.97 | Median: 102ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 60ms | Max: 296ms
[2025-08-11T13:08:11.460864900] Count: 64 | Avg: 108.69ms | StdDev: 34.75 | Median: 102ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 60ms | Max: 296ms
[2025-08-11T13:08:11.515867700] Count: 65 | Avg: 108.45ms | StdDev: 34.54 | Median: 101ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 60ms | Max: 296ms
[2025-08-11T13:08:11.516872300] Count: 66 | Avg: 108.23ms | StdDev: 34.32 | Median: 101ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 60ms | Max: 296ms
[2025-08-11T13:08:11.720925600] Count: 67 | Avg: 107.88ms | StdDev: 34.18 | Median: 101ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 60ms | Max: 296ms
[2025-08-11T13:09:11.688869400] Count: 68 | Avg: 107.07ms | StdDev: 34.57 | Median: 101ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 53ms | Max: 296ms
[2025-08-11T13:09:12.329148400] Count: 69 | Avg: 106.16ms | StdDev: 35.13 | Median: 97ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:12.942699100] Count: 70 | Avg: 105.40ms | StdDev: 35.45 | Median: 97ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:13.436384200] Count: 71 | Avg: 104.66ms | StdDev: 35.73 | Median: 97ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:13.955449300] Count: 72 | Avg: 103.90ms | StdDev: 36.06 | Median: 97ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:14.505656800] Count: 73 | Avg: 103.42ms | StdDev: 36.04 | Median: 95ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:15.010016800] Count: 74 | Avg: 102.93ms | StdDev: 36.04 | Median: 95ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:15.516643100] Count: 75 | Avg: 102.25ms | StdDev: 36.27 | Median: 95ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:16.024546600] Count: 76 | Avg: 101.61ms | StdDev: 36.47 | Median: 95ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:17.918070900] Count: 77 | Avg: 101.12ms | StdDev: 36.48 | Median: 94ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:19.384524800] Count: 78 | Avg: 100.60ms | StdDev: 36.53 | Median: 94ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:20.024579500] Count: 79 | Avg: 100.00ms | StdDev: 36.68 | Median: 94ms | P90: 141ms | P95: 165ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:20.294863] Count: 80 | Avg: 99.53ms | StdDev: 36.70 | Median: 94ms | P90: 139ms | P95: 150ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:23.713737600] Count: 81 | Avg: 99.06ms | StdDev: 36.70 | Median: 93ms | P90: 139ms | P95: 150ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:24.226108100] Count: 82 | Avg: 98.63ms | StdDev: 36.68 | Median: 93ms | P90: 139ms | P95: 150ms | P99: 296ms | Min: 44ms | Max: 296ms
[2025-08-11T13:09:24.665903700] Count: 83 | Avg: 98.05ms | StdDev: 36.84 | Median: 93ms | P90: 139ms | P95: 150ms | P99: 296ms | Min: 44ms | Max: 296ms
